"name","platform","public_url","country","niche","role","public_evidence","access_date","contact_status","fit_notes"
"Paw Power Nutrition (@pawpowernutrition)","Instagram | TikTok | TikTok Shop","https://www.tiktok.com/@pawpowernutrition","待核验","狗粮评测；颗粒粮配料；犬营养；相关产品销售","专业评测与转化型创作者","https://motionapp.com/creator/paw-power-nutrition/ | https://shop.tiktok.com/us/store/paw-power-nutrition/7495086322899127031","2026-07-30","未收集；仅保留公开主页","适合配料表问答和诚实评测；合作前须提供完整证据包并复核受众国家"
"Dr. Wolfe (@doctorwolfe.dvm)","Instagram | TikTok","https://www.instagram.com/doctorwolfe.dvm/","待核验","兽医；宠物营养；自制餐；体况教育","专业教育者","https://motionapp.com/creator/dr-wolfe/","2026-07-30","未收集；仅保留公开主页","适合换粮和标签教育；须核验当前专业资质、受众和广告合作政策"
"Kayla Kowalski Nutrition (@kaylakowalskinutrition_)","Instagram","https://www.instagram.com/kaylakowalskinutrition_/","待核验","犬营养；食品和零食推荐；多犬家庭","专业教育与推荐型创作者","https://influencers.feedspot.com/pet_nutrition_instagram_influencers/","2026-07-30","未收集；仅保留公开主页","可测试标签问答和产品观察；第三方榜单数据须用平台原生截图复核"
"The Dog Nutritionist (@the_dog_nutritionist)","Instagram","https://www.instagram.com/the_dog_nutritionist/","待核验","犬营养；天然喂养；教育内容","专业教育者","https://influencers.feedspot.com/pet_nutrition_instagram_influencers/","2026-07-30","未收集；仅保留公开主页","适合长解释内容；其观点需与目标市场法规和兽医共识逐条核对"
"Nadia & Reggie (@nadiaandreggie)","Instagram | TikTok","https://www.instagram.com/nadiaandreggie/","待核验","主人与犬；自制餐；天然营养；零食","宠物家庭与营养型UGC","https://motionapp.com/creator/nadia-and-reggie/","2026-07-30","未收集；仅保留公开主页","适合真实喂食、冻干微距和餐碗场景；避免鼓励不平衡加餐"
"Nikki Pet Nutrition (@nikki.petnutrition)","Instagram","https://www.instagram.com/nikki.petnutrition/","待核验","猫狗定制餐；颗粒粮；混合喂养","专业教育者","https://influencers.feedspot.com/pet_nutrition_instagram_influencers/","2026-07-30","未收集；仅保留公开主页","适合猫狗差异和称量内容；邀约前核验当前资历和受众区域"
"The Canine Dietitian (@thecaninedietitian)","Instagram","https://www.instagram.com/thecaninedietitian/","待核验","犬营养咨询；健康教育","专业教育者","https://influencers.feedspot.com/pet_nutrition_instagram_influencers/","2026-07-30","未收集；仅保留公开主页","适合买家FAQ和标签解释；先确认其商业合作政策"
"The Little Carnivore (@thelittlecarnivore)","Instagram | Blog","https://www.instagram.com/thelittlecarnivore/","待核验","猫营养；猫食教育","猫营养专业教育者","https://thelittlecarnivore.com/en/blog","2026-07-30","未收集；仅保留公开主页","适合幼猫和成猫差异；需先评估其喂养理念与产品匹配度"
"King Lou Pets (@kingloupets)","TikTok | TikTok Shop","https://www.tiktok.com/@kingloupets","美国（公开案例市场）","创始人出镜；单一原料犬零食；幕后；直播电商","直播及创始人内容模式观察对象","https://www.tramicheck.com/newsletter/how-a-founder-led-pet-brand-rises-to-a-6-8m-tiktok-shop-king-lou-pets","2026-07-30","不作为当前邀约对象；仅公开观察","适合作为TALVUMI自有主播体系标杆；第三方案例数据需谨慎引用"
"Pet Republic (@petrepublic_takakarma)","TikTok","https://www.tiktok.com/@petrepublic_takakarma","波兰（公开案例投放市场）","宠物食品；宠物日常；轻喜剧","品牌内容与Spark Ads模式观察对象","https://ads.tiktok.com/business/en-GB/inspiration/pet-republic-tiktok-success-story","2026-07-30","不作为当前邀约对象；仅公开观察","适合研究短视频自然测试后付费放大；国家字段指案例投放市场"
"Freshpet","TikTok | YouTube | Instagram","https://www.youtube.com/@Freshpet","待核验","鲜食宠物食品；家庭宠物；品牌广告","品牌内容与竞品生态观察对象","https://www.tiktok.com/channel/fresh-pet-dog-food-reviews?lang=en | https://www.youtube.com/watch?v=fiGZn_vJ48w","2026-07-30","不作为当前邀约对象；仅公开观察","研究单一品牌认知句、达人评测生态和评论争议"
"Jinx","Instagram | DTC","https://www.instagram.com/thinkjinx/","美国（公开案例市场）","高端犬粮；宠物家庭；真实餐次","分布式达人活动模式观察对象","https://ainfluencer.com/case-studies/jinx/","2026-07-30","不作为当前邀约对象；仅公开观察","研究多位宠物家庭同时发布真实喂食内容；案例数据来自活动服务商"
"Princess Penny (@its_princesspenny)","Instagram","https://www.instagram.com/its_princesspenny/","待核验","狗主体内容；真实家庭餐次","宠物家庭UGC候选","https://www.instagram.com/reel/DX6vgbjKpI8/ | https://ainfluencer.com/case-studies/jinx/","2026-07-30","未收集；仅保留公开主页","公开参与Jinx活动；受众国家、近期表现、竞品排他和报价均待核验"
"Juju (@jujurchan)","Instagram","https://www.instagram.com/jujurchan/","待核验","宠物人格；家庭生活","宠物家庭UGC候选","https://www.instagram.com/reel/DXhjZ7EEUNk/ | https://ainfluencer.com/case-studies/jinx/","2026-07-30","未收集；仅保留公开主页","公开参与Jinx活动；需复核账号当前内容、受众和品牌安全"
"Dagmar Gudmundsson (@diggydag)","Instagram","https://www.instagram.com/diggydag/","待核验","狗主人原生叙事","宠物家庭UGC候选","https://www.instagram.com/reel/DXaJ5eXDtm0/ | https://ainfluencer.com/case-studies/jinx/","2026-07-30","未收集；仅保留公开主页","公开参与Jinx活动；适合观察真实家庭喂食叙事"
"The Hayeks (@the_hayeks)","Instagram","https://www.instagram.com/the_hayeks/","待核验","家庭与狗生活方式","家庭生活UGC候选","https://ainfluencer.com/case-studies/jinx/","2026-07-30","未收集；仅保留公开主页","公开出现在Jinx活动案例；全部表现和受众数据待平台原生复核"
"Emma Tyrrell (@emmajeantyrrell)","Instagram","https://www.instagram.com/emmajeantyrrell/","待核验","家庭日常；宠物场景","家庭生活UGC候选","https://ainfluencer.com/case-studies/jinx/","2026-07-30","未收集；仅保留公开主页","公开出现在Jinx活动案例；适合自然家庭植入测试"
"Claudia Harrington (@claudiaaharrington)","Instagram","https://www.instagram.com/claudiaaharrington/","待核验","家庭与宠物生活","家庭生活UGC候选","https://ainfluencer.com/case-studies/jinx/","2026-07-30","未收集；仅保留公开主页","公开出现在Jinx活动案例；受众市场和商业表现待核验"
