"id","category","platform","duration","hook","shots","voiceover","proof_required","CTA","status"
"01","品牌信任","TikTok | Instagram Reels | YouTube Shorts | LinkedIn","20-25s","We’re not launching another faceless pet food brand.","创始人手持包装样；宠物入镜；工厂授权素材；标签和检测清单；真实喂食","We’re building TALVUMI in public—from factory documents and packaging tests to the first real feeding. Follow the proof, not the hype.","厂家授权素材；文件仅展示已确认页面；不得出现未取得的认证标识","Follow the build from sample to first shipment.","待创始人出镜及工厂素材"
"02","品牌信任","LinkedIn | YouTube Shorts | TikTok","18-22s","Factory direct should mean more than a low price.","工厂装袋线；Traceability/Quality checks/Stable supply卡片；产品装箱出库","For TALVUMI, factory direct means a documented supply chain, batch-level quality records and pricing built for long-term retail partners—not a one-off cheap shipment.","厂家书面确认稳定供货、批次追溯和质量记录；不得发布无法证明的最低价比较","Retailers and distributors: request the factory dossier.","待厂家资料"
"03","品牌信任","Instagram Reels | YouTube Shorts | LinkedIn","20s","Your pet food should have a passport.","批次码；原料批次；生产日期；留样；检测报告；扫描二维码","Ingredient lot. Production date. Quality check. Finished batch. TALVUMI is being built so every shipment can be connected to documents—not just marketing words.","真实可脱敏的追溯链；二维码未上线时标注Traceability system in development","Save this if traceability matters to you.","待追溯方案"
"04","品牌信任","TikTok | Instagram Reels | LinkedIn","15-18s","We won’t print the bag until these four answers are locked.","空白刀版；合法产品名；配方和营养；净含量公差；目标市场标签；PROOF印章","Legal product name. Verified formulation. Net-weight tolerance. Market-ready labeling. Good packaging starts with accurate product data.","四项进入内部放行流程；不得展示未批准的最终标签","Follow for the first approved packaging proof.","待标签资料"
"05","品牌信任","Instagram Reels | YouTube Shorts | LinkedIn","25-30s","A certificate means nothing if you can’t read it.","合格讲解者持脱敏报告；营养保证；微生物；污染物；批次；报告日期和样品编号","Check what was tested, which batch was sampled, which method was used and when the report was issued. That is how we review evidence.","真实报告；讲解者身份准确；仅解释报告实际包含项目","Comment REPORT for the buyer document checklist.","待检测报告"
"06","品牌信任","TikTok | Instagram Reels | YouTube Shorts | LinkedIn","18-22s","This beautiful bag is not ready—and that’s a good thing.","包装渲染；Prototype标识；实装；封口；跌落；堆码；条码测试","A render can look perfect. A sellable bag must survive filling, sealing, shipping, storage and scanning. We approve performance before mass printing.","测试未完成使用未来时；不得把渲染图称为已量产包装","Follow the packaging test series.","可拍概念版；测试版待打样"
"07","品牌信任","Instagram Reels | LinkedIn | YouTube Shorts","20s","A real team stands behind every bowl.","产品负责人；质量负责人；包装工程；渠道负责人；宠物主人","Product. Quality. Packaging. Distribution. Pet parent. TALVUMI is built by people who are accountable for each step.","所有人物同意出镜；职位名称真实；未确定人员仅拍手部和工作场景","Meet the next person in the TALVUMI chain.","待人员授权"
"08","品牌信任","TikTok | Instagram Reels | YouTube Shorts","20-35s","Why is [ingredient] in the recipe?","真实评论截图；负责人回答；厂家或配方依据；公开当前限制","Short answer: [verified answer]. The evidence we have is [document]. What we still need to confirm is [open item].","配方师或厂家书面确认；保护评论用户隐私；不得回避限制","Ask the difficult question for next Friday.","周更栏目；待真实问题"
"09","真实试吃","TikTok | Instagram Reels","12-18s","The bag isn’t even open yet.","未开封袋；宠物自然靠近；开袋声；闻袋；倒粮；第一口","No cue. No forced reaction. Just [pet name] at a normal mealtime with a TALVUMI sample.","确为正常餐次；吃过样品时写regular mealtime而非first reaction","Would your pet investigate the bag first?","有真实样品即可拍"
"10","真实试吃","TikTok | Instagram Reels | YouTube Shorts","15-20s","Left or right? We didn’t tell her.","同形同量两碗且左右随机；主人退后；宠物选择；免责声明","This is one pet’s choice in one controlled meal—not a scientific palatability claim.","完整连续镜头留档；等重；轮换左右；不得宣称所有宠物都选择TALVUMI","Comment which bowl your pet would try first.","待对照产品和试验SOP"
