Section,Required field,Evidence owner,Current status,Document or reference,Reviewer,Review date,Notes
Company,Legal manufacturer name,Manufacturer,Pending,,,,
Company,Manufacturing facility address,Manufacturer,Pending,,,,
Company,Brand operating entity,Brand owner,Pending,,,,
Company,Destination-market importer of record,Importer,Pending,,,,
Product,Controlled formula identifier,Manufacturer,Pending,,,,
Product,Life-stage designation,Manufacturer,Pending,,,,
Product,Ingredient and additive statement,Manufacturer,Pending,,,,
Product,Guaranteed analysis,Manufacturer,Pending,,,,
Product,Nutritional adequacy basis,Manufacturer,Pending,,,,
Quality,Product-specific test plan,Manufacturer,Pending,,,,
Quality,Batch release records,Manufacturer,Pending,,,,
Quality,Traceability and recall process,Manufacturer,Pending,,,,
Packaging,Final net content and tolerance,Manufacturer,Pending,,,,
Packaging,Final laminate and barrier specification,Manufacturer,Pending,,,,
Packaging,Batch and date coding format,Manufacturer,Pending,,,,
Market,Registration owner,Importer and brand owner,Pending,,,,
Market,Approved label language,Local regulatory reviewer,Pending,,,,
Commercial,MOQ and case pack,Manufacturer and brand owner,Pending,,,,
Commercial,Trade basis and lead time,Brand owner,Pending,,,,
Commercial,Returns and complaint process,Brand owner and distributor,Pending,,,,
